trade_id,traded_at,ticker,name,side,quantity,price,amount,fee,tax,source,source_row,note
synth:averaging_down_prone:005490:23,2025-11-26,005490,POSCO홀딩스,BUY,3,317500.0,952643.0,143,0.0,synth:averaging_down_prone,23,현금매수
synth:averaging_down_prone:005490:24,2025-12-26,005490,POSCO홀딩스,SELL,3,308000.0,922198.0,139,1663.0,synth:averaging_down_prone,24,현금매도
synth:averaging_down_prone:035720:41,2026-01-28,035720,카카오,BUY,16,61800.0,988948.0,148,0.0,synth:averaging_down_prone,41,현금매수
synth:averaging_down_prone:035720:42,2026-02-02,035720,카카오,SELL,16,58400.0,932578.0,140,1682.0,synth:averaging_down_prone,42,현금매도
synth:averaging_down_prone:051910:9,2026-03-31,051910,LG화학,BUY,3,299000.0,897135.0,135,0.0,synth:averaging_down_prone,9,현금매수
synth:averaging_down_prone:035720:48,2026-04-01,035720,카카오,BUY,21,48250.0,1013402.0,152,0.0,synth:averaging_down_prone,48,현금매수
synth:averaging_down_prone:051910:10,2026-04-10,051910,LG화학,SELL,3,356000.0,1065918.0,160,1922.0,synth:averaging_down_prone,10,현금매도
synth:averaging_down_prone:035720:49,2026-04-14,035720,카카오,SELL,21,48100.0,1008130.0,152,1818.0,synth:averaging_down_prone,49,현금매도
synth:averaging_down_prone:005930:4,2026-04-15,005930,삼성전자,BUY,5,211000.0,1055158.0,158,0.0,synth:averaging_down_prone,4,현금매수
synth:averaging_down_prone:035420:21,2026-04-22,035420,NAVER,BUY,5,214000.0,1070160.0,160,0.0,synth:averaging_down_prone,21,현금매수
synth:averaging_down_prone:035420:22,2026-05-11,035420,NAVER,SELL,5,211500.0,1055437.0,159,1904.0,synth:averaging_down_prone,22,현금매도
synth:averaging_down_prone:051910:18,2026-05-13,051910,LG화학,BUY,3,387500.0,1162674.0,174,0.0,synth:averaging_down_prone,18,현금매수
synth:averaging_down_prone:051910:19,2026-05-20,051910,LG화학,BUY,2,332000.0,664100.0,100,0.0,synth:averaging_down_prone,19,현금매수
synth:averaging_down_prone:035420:25,2026-05-27,035420,NAVER,BUY,5,198800.0,994149.0,149,0.0,synth:averaging_down_prone,25,현금매수
synth:averaging_down_prone:105560:12,2026-06-04,105560,KB금융,BUY,6,164200.0,985348.0,148,0.0,synth:averaging_down_prone,12,현금매수
synth:averaging_down_prone:051910:20,2026-06-05,051910,LG화학,SELL,5,349000.0,1741597.0,262,3141.0,synth:averaging_down_prone,20,현금매도
synth:averaging_down_prone:035420:26,2026-06-08,035420,NAVER,SELL,5,279000.0,1392280.0,209,2511.0,synth:averaging_down_prone,26,현금매도
synth:averaging_down_prone:005930:5,2026-06-09,005930,삼성전자,BUY,2,322000.0,644097.0,97,0.0,synth:averaging_down_prone,5,현금매수
synth:averaging_down_prone:105560:13,2026-06-09,105560,KB금융,BUY,3,154800.0,464470.0,70,0.0,synth:averaging_down_prone,13,현금매수
synth:averaging_down_prone:005930:6,2026-06-22,005930,삼성전자,SELL,7,353500.0,2469675.0,371,4454.0,synth:averaging_down_prone,6,현금매도
synth:averaging_down_prone:005930:38,2026-06-24,005930,삼성전자,BUY,3,340500.0,1021653.0,153,0.0,synth:averaging_down_prone,38,현금매수
synth:averaging_down_prone:105560:14,2026-06-25,105560,KB금융,BUY,3,151900.0,455768.0,68,0.0,synth:averaging_down_prone,14,현금매수
synth:averaging_down_prone:105560:15,2026-06-26,105560,KB금융,BUY,3,149300.0,447967.0,67,0.0,synth:averaging_down_prone,15,현금매수
synth:averaging_down_prone:005930:39,2026-07-02,005930,삼성전자,BUY,2,286000.0,572086.0,86,0.0,synth:averaging_down_prone,39,현금매수
synth:averaging_down_prone:005930:40,2026-07-03,005930,삼성전자,SELL,5,309500.0,1544482.0,232,2786.0,synth:averaging_down_prone,40,현금매도
synth:averaging_down_prone:051910:27,2026-07-08,051910,LG화학,BUY,4,255000.0,1020153.0,153,0.0,synth:averaging_down_prone,27,현금매수
synth:averaging_down_prone:035720:50,2026-07-09,035720,카카오,BUY,30,33650.0,1009651.0,151,0.0,synth:averaging_down_prone,50,현금매수
synth:averaging_down_prone:105560:16,2026-07-10,105560,KB금융,BUY,3,184400.0,553283.0,83,0.0,synth:averaging_down_prone,16,현금매수
synth:averaging_down_prone:051910:28,2026-07-16,051910,LG화학,SELL,4,260500.0,1039968.0,156,1876.0,synth:averaging_down_prone,28,현금매도
synth:averaging_down_prone:006400:1,2026-07-21,006400,삼성SDI,BUY,2,416500.0,833125.0,125,0.0,synth:averaging_down_prone,1,현금매수
synth:averaging_down_prone:005490:43,2026-07-23,005490,POSCO홀딩스,BUY,3,323500.0,970646.0,146,0.0,synth:averaging_down_prone,43,현금매수
synth:averaging_down_prone:006400:2,2026-07-23,006400,삼성SDI,BUY,1,467000.0,467070.0,70,0.0,synth:averaging_down_prone,2,현금매수
synth:averaging_down_prone:035420:31,2026-07-23,035420,NAVER,BUY,5,220000.0,1100165.0,165,0.0,synth:averaging_down_prone,31,현금매수
synth:averaging_down_prone:105560:17,2026-07-27,105560,KB금융,SELL,18,172600.0,3100742.0,466,5592.0,synth:averaging_down_prone,17,현금매도
synth:averaging_down_prone:005490:44,2026-07-29,005490,POSCO홀딩스,BUY,2,288500.0,577087.0,87,0.0,synth:averaging_down_prone,44,현금매수
synth:averaging_down_prone:006400:3,2026-07-30,006400,삼성SDI,SELL,3,358500.0,1073403.0,161,1936.0,synth:averaging_down_prone,3,현금매도
synth:averaging_down_prone:035420:32,2026-07-30,035420,NAVER,BUY,3,194700.0,584188.0,88,0.0,synth:averaging_down_prone,32,현금매수
synth:averaging_down_prone:006400:7,2026-08-03,006400,삼성SDI,BUY,3,389500.0,1168675.0,175,0.0,synth:averaging_down_prone,7,현금매수
synth:averaging_down_prone:000660:33,2026-08-04,000660,SK하이닉스,BUY,1,1577000.0,1577237.0,237,0.0,synth:averaging_down_prone,33,현금매수
synth:averaging_down_prone:000660:34,2026-08-05,000660,SK하이닉스,BUY,1,1668000.0,1668250.0,250,0.0,synth:averaging_down_prone,34,현금매수
synth:averaging_down_prone:105560:29,2026-08-05,105560,KB금융,BUY,6,170700.0,1024354.0,154,0.0,synth:averaging_down_prone,29,현금매수
synth:averaging_down_prone:005930:46,2026-08-11,005930,삼성전자,BUY,4,239500.0,958144.0,144,0.0,synth:averaging_down_prone,46,현금매수
synth:averaging_down_prone:000660:35,2026-08-12,000660,SK하이닉스,BUY,1,1504000.0,1504226.0,226,0.0,synth:averaging_down_prone,35,현금매수
synth:averaging_down_prone:005930:47,2026-08-12,005930,삼성전자,BUY,2,255500.0,511077.0,77,0.0,synth:averaging_down_prone,47,현금매수
synth:averaging_down_prone:006400:8,2026-08-12,006400,삼성SDI,SELL,3,485500.0,1453660.0,218,2622.0,synth:averaging_down_prone,8,현금매도
synth:averaging_down_prone:051910:37,2026-08-13,051910,LG화학,BUY,4,275500.0,1102165.0,165,0.0,synth:averaging_down_prone,37,현금매수
synth:averaging_down_prone:006400:11,2026-08-14,006400,삼성SDI,BUY,2,516000.0,1032155.0,155,0.0,synth:averaging_down_prone,11,현금매수
synth:averaging_down_prone:000660:36,2026-08-19,000660,SK하이닉스,BUY,1,1500000.0,1500225.0,225,0.0,synth:averaging_down_prone,36,현금매수
synth:averaging_down_prone:005490:45,2026-08-19,005490,POSCO홀딩스,SELL,5,320000.0,1596880.0,240,2880.0,synth:averaging_down_prone,45,현금매도
synth:averaging_down_prone:105560:30,2026-08-20,105560,KB금융,BUY,3,160000.0,480072.0,72,0.0,synth:averaging_down_prone,30,현금매수
