trade_id,traded_at,ticker,name,side,quantity,price,amount,fee,tax,source,source_row,note
synth:chasing_prone:035720:17,2025-11-25,035720,카카오,BUY,17,58000.0,986148.0,148,0.0,synth:chasing_prone,17,현금매수
synth:chasing_prone:035720:18,2025-11-26,035720,카카오,BUY,8,61000.0,488073.0,73,0.0,synth:chasing_prone,18,현금매수
synth:chasing_prone:035720:19,2025-11-27,035720,카카오,SELL,25,59700.0,1489590.0,224,2686.0,synth:chasing_prone,19,현금매도
synth:chasing_prone:006400:3,2026-01-09,006400,삼성SDI,BUY,4,267500.0,1070160.0,160,0.0,synth:chasing_prone,3,현금매수
synth:chasing_prone:006400:4,2026-01-13,006400,삼성SDI,BUY,2,300000.0,600090.0,90,0.0,synth:chasing_prone,4,현금매수
synth:chasing_prone:006400:5,2026-01-19,006400,삼성SDI,SELL,6,314000.0,1880326.0,283,3391.0,synth:chasing_prone,5,현금매도
synth:chasing_prone:035420:36,2026-02-04,035420,NAVER,BUY,4,264500.0,1058159.0,159,0.0,synth:chasing_prone,36,현금매수
synth:chasing_prone:000660:63,2026-02-13,000660,SK하이닉스,BUY,1,880000.0,880132.0,132,0.0,synth:chasing_prone,63,현금매수
synth:chasing_prone:000660:64,2026-02-20,000660,SK하이닉스,BUY,1,949000.0,949142.0,142,0.0,synth:chasing_prone,64,현금매수
synth:chasing_prone:000660:65,2026-02-24,000660,SK하이닉스,BUY,1,1005000.0,1005151.0,151,0.0,synth:chasing_prone,65,현금매수
synth:chasing_prone:000660:66,2026-02-26,000660,SK하이닉스,BUY,1,1099000.0,1099165.0,165,0.0,synth:chasing_prone,66,현금매수
synth:chasing_prone:006400:6,2026-02-26,006400,삼성SDI,BUY,2,449000.0,898135.0,135,0.0,synth:chasing_prone,6,현금매수
synth:chasing_prone:000660:67,2026-03-05,000660,SK하이닉스,BUY,1,941000.0,941141.0,141,0.0,synth:chasing_prone,67,현금매수
synth:chasing_prone:006400:7,2026-03-05,006400,삼성SDI,BUY,1,392500.0,392559.0,59,0.0,synth:chasing_prone,7,현금매수
synth:chasing_prone:035420:37,2026-03-05,035420,NAVER,BUY,2,220000.0,440066.0,66,0.0,synth:chasing_prone,37,현금매수
synth:chasing_prone:000660:68,2026-03-10,000660,SK하이닉스,BUY,1,938000.0,938141.0,141,0.0,synth:chasing_prone,68,현금매수
synth:chasing_prone:035420:38,2026-03-10,035420,NAVER,BUY,2,220500.0,441066.0,66,0.0,synth:chasing_prone,38,현금매수
synth:chasing_prone:006400:8,2026-03-11,006400,삼성SDI,BUY,1,400000.0,400060.0,60,0.0,synth:chasing_prone,8,현금매수
synth:chasing_prone:035420:39,2026-03-12,035420,NAVER,BUY,2,222000.0,444067.0,67,0.0,synth:chasing_prone,39,현금매수
synth:chasing_prone:035420:40,2026-03-19,035420,NAVER,BUY,2,220500.0,441066.0,66,0.0,synth:chasing_prone,40,현금매수
synth:chasing_prone:006400:9,2026-03-24,006400,삼성SDI,BUY,1,397500.0,397560.0,60,0.0,synth:chasing_prone,9,현금매수
synth:chasing_prone:006400:10,2026-03-27,006400,삼성SDI,SELL,5,405500.0,2023546.0,304,3650.0,synth:chasing_prone,10,현금매도
synth:chasing_prone:005930:11,2026-04-01,005930,삼성전자,BUY,5,189600.0,948142.0,142,0.0,synth:chasing_prone,11,현금매수
synth:chasing_prone:035420:41,2026-04-06,035420,NAVER,BUY,3,196800.0,590489.0,89,0.0,synth:chasing_prone,41,현금매수
synth:chasing_prone:051910:51,2026-04-06,051910,LG화학,BUY,3,317000.0,951143.0,143,0.0,synth:chasing_prone,51,현금매수
synth:chasing_prone:005930:12,2026-04-08,005930,삼성전자,BUY,2,210500.0,421063.0,63,0.0,synth:chasing_prone,12,현금매수
synth:chasing_prone:051910:52,2026-04-08,051910,LG화학,BUY,1,344500.0,344552.0,52,0.0,synth:chasing_prone,52,현금매수
synth:chasing_prone:105560:1,2026-04-10,105560,KB금융,BUY,6,158300.0,949942.0,142,0.0,synth:chasing_prone,1,현금매수
synth:chasing_prone:051910:53,2026-04-20,051910,LG화학,SELL,4,365500.0,1459149.0,219,2632.0,synth:chasing_prone,53,현금매도
synth:chasing_prone:051910:56,2026-04-21,051910,LG화학,BUY,3,389500.0,1168675.0,175,0.0,synth:chasing_prone,56,현금매수
synth:chasing_prone:000660:69,2026-04-29,000660,SK하이닉스,SELL,6,1293000.0,7742872.0,1164,13964.0,synth:chasing_prone,69,현금매도
synth:chasing_prone:035420:42,2026-04-30,035420,NAVER,SELL,15,211000.0,3158828.0,475,5697.0,synth:chasing_prone,42,현금매도
synth:chasing_prone:005930:13,2026-05-04,005930,삼성전자,BUY,2,232500.0,465070.0,70,0.0,synth:chasing_prone,13,현금매수
synth:chasing_prone:051910:57,2026-05-04,051910,LG화학,BUY,1,429000.0,429064.0,64,0.0,synth:chasing_prone,57,현금매수
synth:chasing_prone:005930:14,2026-05-06,005930,삼성전자,BUY,2,266000.0,532080.0,80,0.0,synth:chasing_prone,14,현금매수
synth:chasing_prone:035420:43,2026-05-08,035420,NAVER,BUY,5,215000.0,1075161.0,161,0.0,synth:chasing_prone,43,현금매수
synth:chasing_prone:005930:15,2026-05-11,005930,삼성전자,SELL,11,285500.0,3134376.0,471,5653.0,synth:chasing_prone,15,현금매도
synth:chasing_prone:035420:44,2026-05-14,035420,NAVER,SELL,5,213000.0,1062923.0,160,1917.0,synth:chasing_prone,44,현금매도
synth:chasing_prone:035720:81,2026-05-20,035720,카카오,BUY,25,40150.0,1003901.0,151,0.0,synth:chasing_prone,81,현금매수
synth:chasing_prone:035720:82,2026-05-27,035720,카카오,SELL,25,40500.0,1010526.0,152,1822.0,synth:chasing_prone,82,현금매도
synth:chasing_prone:051910:58,2026-05-29,051910,LG화학,BUY,1,367000.0,367055.0,55,0.0,synth:chasing_prone,58,현금매수
synth:chasing_prone:051910:59,2026-06-05,051910,LG화학,SELL,5,349000.0,1741597.0,262,3141.0,synth:chasing_prone,59,현금매도
synth:chasing_prone:035720:83,2026-06-08,035720,카카오,BUY,26,38600.0,1003751.0,151,0.0,synth:chasing_prone,83,현금매수
synth:chasing_prone:105560:2,2026-06-11,105560,KB금융,SELL,6,151500.0,907228.0,136,1636.0,synth:chasing_prone,2,현금매도
synth:chasing_prone:035720:84,2026-06-12,035720,카카오,BUY,12,41500.0,498075.0,75,0.0,synth:chasing_prone,84,현금매수
synth:chasing_prone:035720:85,2026-06-19,035720,카카오,SELL,38,37750.0,1431703.0,215,2582.0,synth:chasing_prone,85,현금매도
synth:chasing_prone:006400:24,2026-06-26,006400,삼성SDI,BUY,2,455000.0,910136.0,136,0.0,synth:chasing_prone,24,현금매수
synth:chasing_prone:035420:49,2026-06-26,035420,NAVER,BUY,5,196400.0,982147.0,147,0.0,synth:chasing_prone,49,현금매수
synth:chasing_prone:006400:25,2026-06-29,006400,삼성SDI,BUY,1,512000.0,512077.0,77,0.0,synth:chasing_prone,25,현금매수
synth:chasing_prone:006400:26,2026-06-30,006400,삼성SDI,SELL,3,487000.0,1458151.0,219,2630.0,synth:chasing_prone,26,현금매도
synth:chasing_prone:005930:20,2026-07-02,005930,삼성전자,BUY,3,286000.0,858129.0,129,0.0,synth:chasing_prone,20,현금매수
synth:chasing_prone:005930:21,2026-07-03,005930,삼성전자,BUY,2,309500.0,619093.0,93,0.0,synth:chasing_prone,21,현금매수
synth:chasing_prone:035420:50,2026-07-06,035420,NAVER,SELL,5,196600.0,981084.0,147,1769.0,synth:chasing_prone,50,현금매도
synth:chasing_prone:000660:70,2026-07-14,000660,SK하이닉스,BUY,1,1913000.0,1913287.0,287,0.0,synth:chasing_prone,70,현금매수
synth:chasing_prone:035420:54,2026-07-14,035420,NAVER,BUY,5,183200.0,916137.0,137,0.0,synth:chasing_prone,54,현금매수
synth:chasing_prone:000660:71,2026-07-15,000660,SK하이닉스,BUY,1,2082000.0,2082312.0,312,0.0,synth:chasing_prone,71,현금매수
synth:chasing_prone:005930:22,2026-07-15,005930,삼성전자,BUY,2,279500.0,559084.0,84,0.0,synth:chasing_prone,22,현금매수
synth:chasing_prone:035420:55,2026-07-15,035420,NAVER,SELL,5,189600.0,946152.0,142,1706.0,synth:chasing_prone,55,현금매도
synth:chasing_prone:051910:76,2026-07-15,051910,LG화학,BUY,4,264500.0,1058159.0,159,0.0,synth:chasing_prone,76,현금매수
synth:chasing_prone:005930:23,2026-07-16,005930,삼성전자,SELL,7,255000.0,1781519.0,268,3213.0,synth:chasing_prone,23,현금매도
synth:chasing_prone:006400:29,2026-07-20,006400,삼성SDI,BUY,2,401000.0,802120.0,120,0.0,synth:chasing_prone,29,현금매수
synth:chasing_prone:005490:27,2026-07-23,005490,POSCO홀딩스,BUY,3,323500.0,970646.0,146,0.0,synth:chasing_prone,27,현금매수
synth:chasing_prone:006400:30,2026-07-23,006400,삼성SDI,BUY,1,467000.0,467070.0,70,0.0,synth:chasing_prone,30,현금매수
synth:chasing_prone:035720:86,2026-07-23,035720,카카오,BUY,27,37150.0,1003200.0,150,0.0,synth:chasing_prone,86,현금매수
synth:chasing_prone:051910:77,2026-07-23,051910,LG화학,BUY,2,271500.0,543081.0,81,0.0,synth:chasing_prone,77,현금매수
