trade_id,traded_at,ticker,name,side,quantity,price,amount,fee,tax,source,source_row,note
synth:disposition_prone:035420:8,2025-11-07,035420,NAVER,BUY,4,260000.0,1040156.0,156,0.0,synth:disposition_prone,8,현금매수
synth:disposition_prone:105560:43,2025-11-10,105560,KB금융,BUY,8,129000.0,1032155.0,155,0.0,synth:disposition_prone,43,현금매수
synth:disposition_prone:035420:9,2025-11-11,035420,NAVER,SELL,4,263000.0,1049948.0,158,1894.0,synth:disposition_prone,9,현금매도
synth:disposition_prone:105560:44,2025-11-11,105560,KB금융,SELL,8,130700.0,1043561.0,157,1882.0,synth:disposition_prone,44,현금매도
synth:disposition_prone:006400:14,2025-11-12,006400,삼성SDI,BUY,3,321500.0,964645.0,145,0.0,synth:disposition_prone,14,현금매수
synth:disposition_prone:006400:15,2025-11-17,006400,삼성SDI,SELL,3,317000.0,949145.0,143,1712.0,synth:disposition_prone,15,현금매도
synth:disposition_prone:105560:19,2025-11-17,105560,KB금융,BUY,8,126800.0,1014552.0,152,0.0,synth:disposition_prone,19,현금매수
synth:disposition_prone:006400:68,2025-11-25,006400,삼성SDI,BUY,4,284500.0,1138171.0,171,0.0,synth:disposition_prone,68,현금매수
synth:disposition_prone:006400:69,2025-11-27,006400,삼성SDI,SELL,4,303000.0,1209636.0,182,2182.0,synth:disposition_prone,69,현금매도
synth:disposition_prone:051910:21,2025-11-28,051910,LG화학,BUY,3,374000.0,1122168.0,168,0.0,synth:disposition_prone,21,현금매수
synth:disposition_prone:105560:20,2025-12-02,105560,KB금융,SELL,8,132000.0,1053941.0,158,1901.0,synth:disposition_prone,20,현금매도
synth:disposition_prone:051910:22,2025-12-03,051910,LG화학,SELL,3,380000.0,1137777.0,171,2052.0,synth:disposition_prone,22,현금매도
synth:disposition_prone:105560:79,2025-12-04,105560,KB금융,BUY,8,128800.0,1030555.0,155,0.0,synth:disposition_prone,79,현금매수
synth:disposition_prone:105560:80,2025-12-05,105560,KB금융,SELL,8,130700.0,1043561.0,157,1882.0,synth:disposition_prone,80,현금매도
synth:disposition_prone:005490:66,2025-12-15,005490,POSCO홀딩스,BUY,3,318000.0,954143.0,143,0.0,synth:disposition_prone,66,현금매수
synth:disposition_prone:105560:41,2025-12-17,105560,KB금융,BUY,8,124300.0,994549.0,149,0.0,synth:disposition_prone,41,현금매수
synth:disposition_prone:105560:42,2025-12-19,105560,KB금융,SELL,8,125200.0,999647.0,150,1803.0,synth:disposition_prone,42,현금매도
synth:disposition_prone:105560:48,2025-12-24,105560,KB금융,BUY,8,126100.0,1008951.0,151,0.0,synth:disposition_prone,48,현금매수
synth:disposition_prone:035720:33,2025-12-26,035720,카카오,BUY,17,58100.0,987848.0,148,0.0,synth:disposition_prone,33,현금매수
synth:disposition_prone:051910:16,2025-12-26,051910,LG화학,BUY,3,336000.0,1008151.0,151,0.0,synth:disposition_prone,16,현금매수
synth:disposition_prone:105560:35,2025-12-26,105560,KB금융,BUY,8,124600.0,996950.0,150,0.0,synth:disposition_prone,35,현금매수
synth:disposition_prone:000660:27,2025-12-29,000660,SK하이닉스,BUY,2,640000.0,1280192.0,192,0.0,synth:disposition_prone,27,현금매수
synth:disposition_prone:035720:34,2025-12-29,035720,카카오,SELL,17,61200.0,1038371.0,156,1873.0,synth:disposition_prone,34,현금매도
synth:disposition_prone:105560:36,2025-12-29,105560,KB금융,SELL,8,125600.0,1002840.0,151,1809.0,synth:disposition_prone,36,현금매도
synth:disposition_prone:000660:28,2025-12-30,000660,SK하이닉스,SELL,2,651000.0,1299461.0,195,2344.0,synth:disposition_prone,28,현금매도
synth:disposition_prone:105560:51,2025-12-30,105560,KB금융,BUY,8,124700.0,997750.0,150,0.0,synth:disposition_prone,51,현금매수
synth:disposition_prone:005490:67,2026-01-05,005490,POSCO홀딩스,SELL,3,302500.0,905730.0,136,1634.0,synth:disposition_prone,67,현금매도
synth:disposition_prone:105560:52,2026-01-05,105560,KB금융,SELL,8,126800.0,1012422.0,152,1826.0,synth:disposition_prone,52,현금매도
synth:disposition_prone:051910:17,2026-01-13,051910,LG화학,BUY,1,342500.0,342551.0,51,0.0,synth:disposition_prone,17,현금매수
synth:disposition_prone:105560:81,2026-01-14,105560,KB금융,BUY,8,128900.0,1031355.0,155,0.0,synth:disposition_prone,81,현금매수
synth:disposition_prone:105560:82,2026-01-15,105560,KB금융,SELL,8,130100.0,1038771.0,156,1873.0,synth:disposition_prone,82,현금매도
synth:disposition_prone:051910:18,2026-01-20,051910,LG화학,SELL,4,339000.0,1353356.0,203,2441.0,synth:disposition_prone,18,현금매도
synth:disposition_prone:105560:23,2026-01-23,105560,KB금융,BUY,7,135600.0,949342.0,142,0.0,synth:disposition_prone,23,현금매수
synth:disposition_prone:105560:24,2026-01-27,105560,KB금융,SELL,7,143000.0,999048.0,150,1802.0,synth:disposition_prone,24,현금매도
synth:disposition_prone:006400:25,2026-01-28,006400,삼성SDI,BUY,3,396500.0,1189678.0,178,0.0,synth:disposition_prone,25,현금매수
synth:disposition_prone:051910:37,2026-02-09,051910,LG화학,BUY,3,310500.0,931640.0,140,0.0,synth:disposition_prone,37,현금매수
synth:disposition_prone:051910:38,2026-02-10,051910,LG화학,SELL,3,321000.0,961123.0,144,1733.0,synth:disposition_prone,38,현금매도
synth:disposition_prone:005490:77,2026-02-19,005490,POSCO홀딩스,BUY,3,389000.0,1167175.0,175,0.0,synth:disposition_prone,77,현금매수
synth:disposition_prone:006400:26,2026-02-19,006400,삼성SDI,SELL,3,408000.0,1221613.0,184,2203.0,synth:disposition_prone,26,현금매도
synth:disposition_prone:005490:78,2026-02-20,005490,POSCO홀딩스,SELL,3,394000.0,1179695.0,177,2128.0,synth:disposition_prone,78,현금매도
synth:disposition_prone:006400:71,2026-02-23,006400,삼성SDI,BUY,3,391500.0,1174676.0,176,0.0,synth:disposition_prone,71,현금매수
synth:disposition_prone:006400:72,2026-02-24,006400,삼성SDI,SELL,3,421500.0,1262034.0,190,2276.0,synth:disposition_prone,72,현금매도
synth:disposition_prone:005490:12,2026-03-05,005490,POSCO홀딩스,BUY,3,346500.0,1039656.0,156,0.0,synth:disposition_prone,12,현금매수
synth:disposition_prone:006400:58,2026-03-06,006400,삼성SDI,BUY,2,410500.0,821123.0,123,0.0,synth:disposition_prone,58,현금매수
synth:disposition_prone:005930:60,2026-03-10,005930,삼성전자,BUY,5,187900.0,939641.0,141,0.0,synth:disposition_prone,60,현금매수
synth:disposition_prone:005490:13,2026-03-12,005490,POSCO홀딩스,SELL,3,347500.0,1040468.0,156,1876.0,synth:disposition_prone,13,현금매도
synth:disposition_prone:000660:29,2026-03-16,000660,SK하이닉스,BUY,1,974000.0,974146.0,146,0.0,synth:disposition_prone,29,현금매수
synth:disposition_prone:005930:61,2026-03-17,005930,삼성전자,SELL,5,193900.0,967610.0,145,1745.0,synth:disposition_prone,61,현금매도
synth:disposition_prone:000660:30,2026-03-18,000660,SK하이닉스,SELL,1,1056000.0,1053941.0,158,1901.0,synth:disposition_prone,30,현금매도
synth:disposition_prone:035420:45,2026-03-18,035420,NAVER,BUY,4,226500.0,906136.0,136,0.0,synth:disposition_prone,45,현금매수
synth:disposition_prone:000660:55,2026-03-19,000660,SK하이닉스,BUY,1,1013000.0,1013152.0,152,0.0,synth:disposition_prone,55,현금매수
synth:disposition_prone:000660:56,2026-03-30,000660,SK하이닉스,BUY,1,873000.0,873131.0,131,0.0,synth:disposition_prone,56,현금매수
synth:disposition_prone:006400:59,2026-03-30,006400,삼성SDI,SELL,2,412500.0,823391.0,124,1485.0,synth:disposition_prone,59,현금매도
synth:disposition_prone:000660:57,2026-04-08,000660,SK하이닉스,SELL,2,1033000.0,2061971.0,310,3719.0,synth:disposition_prone,57,현금매도
