trade_id,traded_at,ticker,name,side,quantity,price,amount,fee,tax,source,source_row,note
synth:mixed_realistic:006400:1,2025-12-04,006400,삼성SDI,BUY,3,302500.0,907636.0,136,0.0,synth:mixed_realistic,1,현금매수
synth:mixed_realistic:005930:4,2025-12-10,005930,삼성전자,BUY,9,108000.0,972146.0,146,0.0,synth:mixed_realistic,4,현금매수
synth:mixed_realistic:051910:14,2025-12-15,051910,LG화학,BUY,3,369000.0,1107166.0,166,0.0,synth:mixed_realistic,14,현금매수
synth:mixed_realistic:035720:25,2025-12-17,035720,카카오,BUY,18,57000.0,1026154.0,154,0.0,synth:mixed_realistic,25,현금매수
synth:mixed_realistic:006400:2,2025-12-22,006400,삼성SDI,BUY,2,282500.0,565085.0,85,0.0,synth:mixed_realistic,2,현금매수
synth:mixed_realistic:035720:26,2025-12-22,035720,카카오,SELL,18,58700.0,1054540.0,158,1902.0,synth:mixed_realistic,26,현금매도
synth:mixed_realistic:005930:5,2025-12-23,005930,삼성전자,SELL,9,111500.0,1001543.0,151,1806.0,synth:mixed_realistic,5,현금매도
synth:mixed_realistic:006400:3,2025-12-23,006400,삼성SDI,SELL,5,279500.0,1394774.0,210,2516.0,synth:mixed_realistic,3,현금매도
synth:mixed_realistic:035420:12,2025-12-23,035420,NAVER,BUY,4,237000.0,948142.0,142,0.0,synth:mixed_realistic,12,현금매수
synth:mixed_realistic:051910:15,2025-12-24,051910,LG화학,BUY,1,346000.0,346052.0,52,0.0,synth:mixed_realistic,15,현금매수
synth:mixed_realistic:051910:16,2025-12-30,051910,LG화학,BUY,2,333000.0,666100.0,100,0.0,synth:mixed_realistic,16,현금매수
synth:mixed_realistic:051910:17,2026-01-02,051910,LG화학,BUY,2,322500.0,645097.0,97,0.0,synth:mixed_realistic,17,현금매수
synth:mixed_realistic:035420:13,2026-01-06,035420,NAVER,SELL,4,260000.0,1037972.0,156,1872.0,synth:mixed_realistic,13,현금매도
synth:mixed_realistic:051910:18,2026-01-13,051910,LG화학,BUY,1,342500.0,342551.0,51,0.0,synth:mixed_realistic,18,현금매수
synth:mixed_realistic:035720:33,2026-01-15,035720,카카오,BUY,17,58500.0,994649.0,149,0.0,synth:mixed_realistic,33,현금매수
synth:mixed_realistic:035720:34,2026-01-20,035720,카카오,SELL,17,59000.0,1001045.0,150,1805.0,synth:mixed_realistic,34,현금매도
synth:mixed_realistic:051910:19,2026-01-22,051910,LG화학,BUY,1,350500.0,350553.0,53,0.0,synth:mixed_realistic,19,현금매수
synth:mixed_realistic:051910:20,2026-01-26,051910,LG화학,SELL,10,349500.0,3488185.0,524,6291.0,synth:mixed_realistic,20,현금매도
synth:mixed_realistic:005930:6,2026-02-25,005930,삼성전자,BUY,5,203500.0,1017653.0,153,0.0,synth:mixed_realistic,6,현금매수
synth:mixed_realistic:005930:7,2026-02-26,005930,삼성전자,SELL,5,218000.0,1087875.0,163,1962.0,synth:mixed_realistic,7,현금매도
synth:mixed_realistic:006400:8,2026-03-05,006400,삼성SDI,BUY,3,392500.0,1177677.0,177,0.0,synth:mixed_realistic,8,현금매수
synth:mixed_realistic:006400:9,2026-03-10,006400,삼성SDI,SELL,3,403500.0,1208139.0,182,2179.0,synth:mixed_realistic,9,현금매도
synth:mixed_realistic:005490:37,2026-03-16,005490,POSCO홀딩스,BUY,3,333500.0,1000650.0,150,0.0,synth:mixed_realistic,37,현금매수
synth:mixed_realistic:005490:38,2026-03-18,005490,POSCO홀딩스,SELL,3,349500.0,1046456.0,157,1887.0,synth:mixed_realistic,38,현금매도
synth:mixed_realistic:051910:23,2026-04-21,051910,LG화학,BUY,3,389500.0,1168675.0,175,0.0,synth:mixed_realistic,23,현금매수
synth:mixed_realistic:051910:24,2026-04-24,051910,LG화학,SELL,3,391500.0,1172210.0,176,2114.0,synth:mixed_realistic,24,현금매도
synth:mixed_realistic:005930:21,2026-05-12,005930,삼성전자,BUY,4,279000.0,1116167.0,167,0.0,synth:mixed_realistic,21,현금매수
synth:mixed_realistic:005930:22,2026-05-13,005930,삼성전자,SELL,4,284000.0,1133785.0,170,2045.0,synth:mixed_realistic,22,현금매도
synth:mixed_realistic:005490:41,2026-06-04,005490,POSCO홀딩스,BUY,2,402000.0,804121.0,121,0.0,synth:mixed_realistic,41,현금매수
synth:mixed_realistic:005490:42,2026-06-09,005490,POSCO홀딩스,BUY,1,364500.0,364555.0,55,0.0,synth:mixed_realistic,42,현금매수
synth:mixed_realistic:005490:43,2026-06-10,005490,POSCO홀딩스,BUY,1,363000.0,363054.0,54,0.0,synth:mixed_realistic,43,현금매수
synth:mixed_realistic:005490:44,2026-06-12,005490,POSCO홀딩스,BUY,1,377000.0,377057.0,57,0.0,synth:mixed_realistic,44,현금매수
synth:mixed_realistic:005490:45,2026-06-15,005490,POSCO홀딩스,SELL,5,395000.0,1971149.0,296,3555.0,synth:mixed_realistic,45,현금매도
synth:mixed_realistic:035720:39,2026-06-23,035720,카카오,BUY,29,34250.0,993399.0,149,0.0,synth:mixed_realistic,39,현금매수
synth:mixed_realistic:105560:10,2026-06-24,105560,KB금융,BUY,7,151800.0,1062759.0,159,0.0,synth:mixed_realistic,10,현금매수
synth:mixed_realistic:000660:62,2026-06-26,000660,SK하이닉스,BUY,1,2673000.0,2673401.0,401,0.0,synth:mixed_realistic,62,현금매수
synth:mixed_realistic:005490:52,2026-06-26,005490,POSCO홀딩스,BUY,3,305000.0,915137.0,137,0.0,synth:mixed_realistic,52,현금매수
synth:mixed_realistic:005490:53,2026-06-29,005490,POSCO홀딩스,SELL,3,333000.0,997052.0,150,1798.0,synth:mixed_realistic,53,현금매도
synth:mixed_realistic:035720:40,2026-06-29,035720,카카오,SELL,29,35850.0,1037623.0,156,1871.0,synth:mixed_realistic,40,현금매도
synth:mixed_realistic:105560:11,2026-06-30,105560,KB금융,SELL,7,159000.0,1110830.0,167,2003.0,synth:mixed_realistic,11,현금매도
synth:mixed_realistic:000660:63,2026-07-07,000660,SK하이닉스,BUY,1,2201000.0,2201330.0,330,0.0,synth:mixed_realistic,63,현금매수
synth:mixed_realistic:000660:64,2026-07-09,000660,SK하이닉스,BUY,1,2186000.0,2186328.0,328,0.0,synth:mixed_realistic,64,현금매수
synth:mixed_realistic:000660:65,2026-07-10,000660,SK하이닉스,BUY,1,2180000.0,2180327.0,327,0.0,synth:mixed_realistic,65,현금매수
synth:mixed_realistic:000660:66,2026-07-15,000660,SK하이닉스,BUY,1,2082000.0,2082312.0,312,0.0,synth:mixed_realistic,66,현금매수
