trade_id,traded_at,ticker,name,side,quantity,price,amount,fee,tax,source,source_row,note
synth:rational_baseline:035420:12,2025-12-01,035420,NAVER,BUY,4,243000.0,972146.0,146,0.0,synth:rational_baseline,12,현금매수
synth:rational_baseline:035420:13,2025-12-08,035420,NAVER,SELL,4,249000.0,994058.0,149,1793.0,synth:rational_baseline,13,현금매도
synth:rational_baseline:051910:10,2025-12-08,051910,LG화학,BUY,3,386500.0,1159674.0,174,0.0,synth:rational_baseline,10,현금매수
synth:rational_baseline:000660:38,2025-12-09,000660,SK하이닉스,BUY,2,566000.0,1132170.0,170,0.0,synth:rational_baseline,38,현금매수
synth:rational_baseline:035420:22,2025-12-17,035420,NAVER,BUY,4,231000.0,924139.0,139,0.0,synth:rational_baseline,22,현금매수
synth:rational_baseline:000660:39,2025-12-24,000660,SK하이닉스,SELL,2,588000.0,1173707.0,176,2117.0,synth:rational_baseline,39,현금매도
synth:rational_baseline:051910:11,2025-12-24,051910,LG화학,SELL,3,346000.0,1035976.0,156,1868.0,synth:rational_baseline,11,현금매도
synth:rational_baseline:035720:16,2025-12-29,035720,카카오,BUY,16,61200.0,979347.0,147,0.0,synth:rational_baseline,16,현금매수
synth:rational_baseline:035720:17,2026-02-05,035720,카카오,SELL,16,58200.0,929384.0,140,1676.0,synth:rational_baseline,17,현금매도
synth:rational_baseline:035420:23,2026-02-25,035420,NAVER,SELL,4,253000.0,1010026.0,152,1822.0,synth:rational_baseline,23,현금매도
synth:rational_baseline:051910:36,2026-04-22,051910,LG화학,BUY,3,392000.0,1176176.0,176,0.0,synth:rational_baseline,36,현금매수
synth:rational_baseline:005930:6,2026-05-06,005930,삼성전자,BUY,4,266000.0,1064160.0,160,0.0,synth:rational_baseline,6,현금매수
synth:rational_baseline:035720:25,2026-05-07,035720,카카오,BUY,22,45250.0,995649.0,149,0.0,synth:rational_baseline,25,현금매수
synth:rational_baseline:005930:7,2026-05-11,005930,삼성전자,BUY,2,285500.0,571086.0,86,0.0,synth:rational_baseline,7,현금매수
synth:rational_baseline:035720:26,2026-05-13,035720,카카오,BUY,12,42950.0,515477.0,77,0.0,synth:rational_baseline,26,현금매수
synth:rational_baseline:006400:1,2026-05-14,006400,삼성SDI,BUY,2,636000.0,1272191.0,191,0.0,synth:rational_baseline,1,현금매수
synth:rational_baseline:035720:27,2026-05-21,035720,카카오,BUY,12,41800.0,501675.0,75,0.0,synth:rational_baseline,27,현금매수
synth:rational_baseline:035720:28,2026-05-27,035720,카카오,SELL,46,40500.0,1859368.0,279,3353.0,synth:rational_baseline,28,현금매도
synth:rational_baseline:006400:2,2026-05-28,006400,삼성SDI,BUY,1,676000.0,676101.0,101,0.0,synth:rational_baseline,2,현금매수
synth:rational_baseline:105560:4,2026-05-28,105560,KB금융,BUY,7,149700.0,1048057.0,157,0.0,synth:rational_baseline,4,현금매수
synth:rational_baseline:005930:8,2026-05-29,005930,삼성전자,BUY,2,317000.0,634095.0,95,0.0,synth:rational_baseline,8,현금매수
synth:rational_baseline:005930:9,2026-06-05,005930,삼성전자,SELL,8,329000.0,2626867.0,395,4738.0,synth:rational_baseline,9,현금매도
synth:rational_baseline:006400:3,2026-06-05,006400,삼성SDI,SELL,3,568000.0,1700677.0,256,3067.0,synth:rational_baseline,3,현금매도
synth:rational_baseline:105560:5,2026-06-10,105560,KB금융,SELL,7,154000.0,1075898.0,162,1940.0,synth:rational_baseline,5,현금매도
synth:rational_baseline:000660:43,2026-06-23,000660,SK하이닉스,BUY,1,2555000.0,2555383.0,383,0.0,synth:rational_baseline,43,현금매수
synth:rational_baseline:000660:44,2026-06-25,000660,SK하이닉스,BUY,1,2917000.0,2917438.0,438,0.0,synth:rational_baseline,44,현금매수
synth:rational_baseline:000660:45,2026-06-26,000660,SK하이닉스,SELL,2,2673000.0,5335575.0,802,9623.0,synth:rational_baseline,45,현금매도
synth:rational_baseline:051910:37,2026-07-01,051910,LG화학,SELL,3,280000.0,838362.0,126,1512.0,synth:rational_baseline,37,현금매도
synth:rational_baseline:000660:46,2026-07-02,000660,SK하이닉스,BUY,1,2187000.0,2187328.0,328,0.0,synth:rational_baseline,46,현금매수
synth:rational_baseline:035720:29,2026-07-03,035720,카카오,BUY,28,35500.0,994149.0,149,0.0,synth:rational_baseline,29,현금매수
synth:rational_baseline:000660:47,2026-07-08,000660,SK하이닉스,SELL,1,2076000.0,2071952.0,311,3737.0,synth:rational_baseline,47,현금매도
synth:rational_baseline:000660:48,2026-07-21,000660,SK하이닉스,BUY,1,1836000.0,1836275.0,275,0.0,synth:rational_baseline,48,현금매수
synth:rational_baseline:035420:31,2026-07-23,035420,NAVER,BUY,5,220000.0,1100165.0,165,0.0,synth:rational_baseline,31,현금매수
synth:rational_baseline:051910:40,2026-07-24,051910,LG화학,BUY,4,259000.0,1036155.0,155,0.0,synth:rational_baseline,40,현금매수
synth:rational_baseline:000660:49,2026-07-28,000660,SK하이닉스,SELL,1,1550000.0,1546978.0,232,2790.0,synth:rational_baseline,49,현금매도
synth:rational_baseline:005490:14,2026-07-30,005490,POSCO홀딩스,BUY,3,300500.0,901635.0,135,0.0,synth:rational_baseline,14,현금매수
synth:rational_baseline:035420:32,2026-07-30,035420,NAVER,BUY,3,194700.0,584188.0,88,0.0,synth:rational_baseline,32,현금매수
synth:rational_baseline:000660:50,2026-07-31,000660,SK하이닉스,BUY,1,1718000.0,1718258.0,258,0.0,synth:rational_baseline,50,현금매수
synth:rational_baseline:005490:15,2026-07-31,005490,POSCO홀딩스,SELL,3,312500.0,935671.0,141,1688.0,synth:rational_baseline,15,현금매도
synth:rational_baseline:035720:30,2026-08-03,035720,카카오,SELL,28,37200.0,1039569.0,156,1875.0,synth:rational_baseline,30,현금매도
synth:rational_baseline:000660:51,2026-08-05,000660,SK하이닉스,BUY,1,1668000.0,1668250.0,250,0.0,synth:rational_baseline,51,현금매수
synth:rational_baseline:005490:20,2026-08-05,005490,POSCO홀딩스,BUY,3,317000.0,951143.0,143,0.0,synth:rational_baseline,20,현금매수
synth:rational_baseline:000660:52,2026-08-10,000660,SK하이닉스,SELL,2,1420000.0,2834462.0,426,5112.0,synth:rational_baseline,52,현금매도
synth:rational_baseline:005490:21,2026-08-10,005490,POSCO홀딩스,SELL,3,336000.0,1006035.0,151,1814.0,synth:rational_baseline,21,현금매도
